[10-02 14:17:57] Score: 104, Best Score: 2702, Avg Score: 340.0232558139535, Steps: 25
[10-02 14:18:02] Score: -25, Best Score: 2702, Avg Score: 335.82758620689657, Steps: 6
[10-02 14:18:12] Score: 1197, Best Score: 2702, Avg Score: 345.6136363636364, Steps: 48
[10-02 14:18:21] Score: 488, Best Score: 2702, Avg Score: 347.2134831460674, Steps: 29
[10-02 14:18:32] Score: 745, Best Score: 2702, Avg Score: 351.6333333333333, Steps: 56
[10-02 14:18:37] Score: -7, Best Score: 2702, Avg Score: 347.6923076923077, Steps: 4
[10-02 14:18:41] Score: -100, Best Score: 2702, Avg Score: 342.82608695652175, Steps: 1
[10-02 14:18:45] Score: -100, Best Score: 2702, Avg Score: 338.06451612903226, Steps: 1
[10-02 14:18:50] Score: -58, Best Score: 2702, Avg Score: 333.8510638297872, Steps: 3
[10-02 14:18:55] Score: 230, Best Score: 2702, Avg Score: 332.7578947368421, Steps: 11
[10-02 14:19:08] Score: 1412, Best Score: 2702, Avg Score: 344.0, Steps: 63
[10-02 14:19:13] Score: -118, Best Score: 2702, Avg Score: 339.2371134020619, Steps: 3
[10-02 14:19:21] Score: 933, Best Score: 2702, Avg Score: 345.2959183673469, Steps: 34
[10-02 14:19:26] Score: -100, Best Score: 2702, Avg Score: 340.7979797979798, Steps: 1
[10-02 14:19:34] Score: 746, Best Score: 2702, Avg Score: 344.85, Steps: 27
[10-02 14:19:38] Score: -100, Best Score: 2702, Avg Score: 340.44554455445547, Steps: 1
[10-02 14:19:42] Score: -100, Best Score: 2702, Avg Score: 336.12745098039215, Steps: 1
[10-02 14:19:46] Score: -100, Best Score: 2702, Avg Score: 331.8932038834951, Steps: 1
[10-02 14:19:52] Score: -112, Best Score: 2702, Avg Score: 327.625, Steps: 9
[10-02 14:20:03] Score: 794, Best Score: 2702, Avg Score: 332.06666666666666, Steps: 55
[10-02 14:20:08] Score: -100, Best Score: 2702, Avg Score: 327.99056603773585, Steps: 1
[10-02 14:20:12] Score: -109, Best Score: 2702, Avg Score: 323.9065420560748, Steps: 2
[10-02 14:20:16] Score: -100, Best Score: 2702, Avg Score: 319.98148148148147, Steps: 1
[10-02 14:20:26] Score: 978, Best Score: 2702, Avg Score: 326.0183486238532, Steps: 39
[10-02 14:20:31] Score: -154, Best Score: 2702, Avg Score: 321.6545454545454, Steps: 7
[10-02 14:20:38] Score: 449, Best Score: 2702, Avg Score: 322.8018018018018, Steps: 20
[10-02 14:20:45] Score: 125, Best Score: 2702, Avg Score: 321.0357142857143, Steps: 16
[10-02 14:20:53] Score: 257, Best Score: 2702, Avg Score: 320.46902654867256, Steps: 28
[10-02 14:21:02] Score: 943, Best Score: 2702, Avg Score: 325.9298245614035, Steps: 34
[10-02 14:21:07] Score: 95, Best Score: 2702, Avg Score: 323.9217391304348, Steps: 6
[10-02 14:21:15] Score: 122, Best Score: 2702, Avg Score: 322.1810344827586, Steps: 23
