[10-02 14:54:30] Score: -69, Best Score: 31, Avg Score: -76.56962025316456, Steps: 32
[10-02 14:54:32] Score: -100, Best Score: 31, Avg Score: -76.71698113207547, Steps: 1
[10-02 14:54:38] Score: -81, Best Score: 31, Avg Score: -76.74375, Steps: 20
[10-02 14:54:40] Score: -100, Best Score: 31, Avg Score: -76.88819875776397, Steps: 1
[10-02 14:54:51] Score: -45, Best Score: 31, Avg Score: -76.69135802469135, Steps: 56
[10-02 14:54:57] Score: -72, Best Score: 31, Avg Score: -76.66257668711657, Steps: 29
[10-02 14:55:22] Score: 44, Best Score: 44, Avg Score: -75.92682926829268, Steps: 145
[10-02 14:55:34] Score: -38, Best Score: 44, Avg Score: -75.6969696969697, Steps: 63
[10-02 14:55:39] Score: -81, Best Score: 44, Avg Score: -75.7289156626506, Steps: 20
[10-02 14:55:51] Score: -37, Best Score: 44, Avg Score: -75.49700598802396, Steps: 64
[10-02 14:55:59] Score: -62, Best Score: 44, Avg Score: -75.41666666666667, Steps: 39
[10-02 14:56:01] Score: -100, Best Score: 44, Avg Score: -75.56213017751479, Steps: 1
[10-02 14:56:06] Score: -87, Best Score: 44, Avg Score: -75.62941176470588, Steps: 14
[10-02 14:56:11] Score: -83, Best Score: 44, Avg Score: -75.67251461988305, Steps: 18
[10-02 14:56:29] Score: 8, Best Score: 44, Avg Score: -75.18604651162791, Steps: 109
[10-02 14:56:32] Score: -96, Best Score: 44, Avg Score: -75.30635838150289, Steps: 5
[10-02 14:56:45] Score: -31, Best Score: 44, Avg Score: -75.05172413793103, Steps: 70
[10-02 14:56:50] Score: -81, Best Score: 44, Avg Score: -75.08571428571429, Steps: 20
[10-02 14:56:53] Score: -93, Best Score: 44, Avg Score: -75.1875, Steps: 8
[10-02 14:57:00] Score: -73, Best Score: 44, Avg Score: -75.17514124293785, Steps: 28
[10-02 14:57:03] Score: -93, Best Score: 44, Avg Score: -75.2752808988764, Steps: 8
[10-02 14:57:06] Score: -100, Best Score: 44, Avg Score: -75.41340782122904, Steps: 1
[10-02 14:57:15] Score: -53, Best Score: 44, Avg Score: -75.28888888888889, Steps: 48
[10-02 14:57:18] Score: -100, Best Score: 44, Avg Score: -75.42541436464089, Steps: 1
[10-02 14:57:21] Score: -100, Best Score: 44, Avg Score: -75.56043956043956, Steps: 1
[10-02 14:57:23] Score: -100, Best Score: 44, Avg Score: -75.69398907103825, Steps: 1
[10-02 14:57:26] Score: -100, Best Score: 44, Avg Score: -75.82608695652173, Steps: 1
[10-02 14:57:28] Score: -100, Best Score: 44, Avg Score: -75.95675675675676, Steps: 1
[10-02 14:57:32] Score: -88, Best Score: 44, Avg Score: -76.02150537634408, Steps: 13
[10-02 14:57:35] Score: -98, Best Score: 44, Avg Score: -76.13903743315508, Steps: 3
[10-02 14:57:37] Score: -100, Best Score: 44, Avg Score: -76.26595744680851, Steps: 1
[10-02 14:57:42] Score: -82, Best Score: 44, Avg Score: -76.29629629629629, Steps: 19
[10-02 14:57:45] Score: -100, Best Score: 44, Avg Score: -76.42105263157895, Steps: 1
[10-02 14:57:48] Score: -91, Best Score: 44, Avg Score: -76.49738219895288, Steps: 10
[10-02 14:57:51] Score: -100, Best Score: 44, Avg Score: -76.61979166666667, Steps: 1
[10-02 14:57:56] Score: -83, Best Score: 44, Avg Score: -76.65284974093264, Steps: 18
[10-02 14:58:00] Score: -83, Best Score: 44, Avg Score: -76.68556701030928, Steps: 18
[10-02 14:58:07] Score: -75, Best Score: 44, Avg Score: -76.67692307692307, Steps: 26
[10-02 14:58:16] Score: -50, Best Score: 44, Avg Score: -76.54081632653062, Steps: 51
[10-02 14:58:25] Score: -60, Best Score: 44, Avg Score: -76.45685279187818, Steps: 41
[10-02 14:58:36] Score: -43, Best Score: 44, Avg Score: -76.28787878787878, Steps: 58
[10-02 14:58:41] Score: -82, Best Score: 44, Avg Score: -76.31658291457286, Steps: 19
[10-02 14:58:45] Score: -93, Best Score: 44, Avg Score: -76.4, Steps: 8
[10-02 14:58:47] Score: -100, Best Score: 44, Avg Score: -76.51741293532338, Steps: 1
[10-02 14:58:50] Score: -94, Best Score: 44, Avg Score: -76.60396039603961, Steps: 7
[10-02 14:58:54] Score: -92, Best Score: 44, Avg Score: -76.67980295566502, Steps: 9
[10-02 14:58:56] Score: -100, Best Score: 44, Avg Score: -76.79411764705883, Steps: 1
[10-02 14:59:05] Score: -54, Best Score: 44, Avg Score: -76.6829268292683, Steps: 47
[10-02 14:59:10] Score: -83, Best Score: 44, Avg Score: -76.7135922330097, Steps: 18
[10-02 14:59:13] Score: -100, Best Score: 44, Avg Score: -76.82608695652173, Steps: 1
[10-02 14:59:15] Score: -100, Best Score: 44, Avg Score: -76.9375, Steps: 1
[10-02 14:59:18] Score: -98, Best Score: 44, Avg Score: -77.03827751196172, Steps: 3
[10-02 14:59:27] Score: -53, Best Score: 44, Avg Score: -76.92380952380952, Steps: 48
[10-02 14:59:30] Score: -99, Best Score: 44, Avg Score: -77.02843601895735, Steps: 2
[10-02 14:59:37] Score: -66, Best Score: 44, Avg Score: -76.97641509433963, Steps: 35
[10-02 14:59:41] Score: -90, Best Score: 44, Avg Score: -77.03755868544602, Steps: 11
[10-02 14:59:45] Score: -94, Best Score: 44, Avg Score: -77.11682242990655, Steps: 7
[10-02 14:59:52] Score: -66, Best Score: 44, Avg Score: -77.06511627906977, Steps: 35
[10-02 14:59:59] Score: -69, Best Score: 44, Avg Score: -77.02777777777777, Steps: 32
[10-02 15:00:03] Score: -91, Best Score: 44, Avg Score: -77.09216589861751, Steps: 10
[10-02 15:00:06] Score: -97, Best Score: 44, Avg Score: -77.18348623853211, Steps: 4
[10-02 15:00:09] Score: -100, Best Score: 44, Avg Score: -77.28767123287672, Steps: 1
[10-02 15:00:11] Score: -100, Best Score: 44, Avg Score: -77.39090909090909, Steps: 1
[10-02 15:00:14] Score: -100, Best Score: 44, Avg Score: -77.49321266968326, Steps: 1
[10-02 15:00:19] Score: -83, Best Score: 44, Avg Score: -77.51801801801801, Steps: 18
[10-02 15:00:21] Score: -100, Best Score: 44, Avg Score: -77.61883408071749, Steps: 1
